"","lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"199","Item_26","~~","Item_28",40.2933309460742,0.508110863718481,0.508110863718481,0.528433424646744,0.528433424646744
"214","Item_26","~~","Item_35",28.6272927502885,0.375684433761809,0.375684433761809,0.396770012572078,0.396770012572078
"215","Item_26","~~","Item_36",28.2502328139548,0.446269174518478,0.446269174518478,0.365349505273276,0.365349505273276
"100","Item_2","~~","Item_14",24.3298480722379,-0.583401128896999,-0.583401128896999,-0.322725461547377,-0.322725461547377
"262","Item_8","~~","Item_19",22.3517617674298,-0.2758378812964,-0.2758378812964,-0.341358652886291,-0.341358652886291
"249","Item_7","~~","Item_19",21.9936097934376,0.262507329506551,0.262507329506551,0.315914485335,0.315914485335
"351","Item_35","~~","Item_36",21.715160352228,0.321016082665864,0.321016082665864,0.325793244210807,0.325793244210807
"289","Item_19","~~","Item_10",21.1276201037369,0.405723014863141,0.405723014863141,0.307831415997593,0.307831415997593
"205","Item_26","~~","Item_30",18.4962808903184,0.404167853019667,0.404167853019667,0.295614648273943,0.295614648273943
"55","Cognitive","=~","Item_8",17.1714693698827,3.58970489123595,1.35317497912724,1.04300512991458,1.04300512991458
"294","Item_19","~~","Item_34",17.1713288155138,0.180699556872477,0.180699556872477,0.285904533486863,0.285904533486863
"148","Item_14","~~","Item_8",16.9531602976706,0.313151805007153,0.313151805007153,0.28261629790787,0.28261629790787
"120","Item_2","~~","Item_36",16.0400560696687,-0.435677630588539,-0.435677630588539,-0.258050283454866,-0.258050283454866
"306","Item_30","~~","Item_36",16.0321587585428,0.369029683621389,0.369029683621389,0.259373216031269,0.259373216031269
"124","Item_3","~~","Item_26",15.8869274456337,-0.302277763038023,-0.302277763038023,-0.296637347713752,-0.296637347713752
"217","Item_28","~~","Item_7",14.669077677225,-0.223773340037898,-0.223773340037898,-0.267125288628483,-0.267125288628483
"195","Item_16","~~","Item_24",13.9742949430552,0.251933009943311,0.251933009943311,0.248814648800713,0.248814648800713
"143","Item_14","~~","Item_16",13.5932926748296,0.297491601554416,0.297491601554416,0.251465704454697,0.251465704454697
"113","Item_2","~~","Item_10",13.5908116799328,0.531190657342518,0.531190657342518,0.236929923577159,0.236929923577159
"345","Item_22","~~","Item_36",13.4287572328902,-0.212181437973589,-0.212181437973589,-0.265927726406864,-0.265927726406864
"192","Item_16","~~","Item_11",13.4070497913129,0.274515108357477,0.274515108357477,0.241595907908491,0.241595907908491
"164","Item_15","~~","Item_28",13.2951852125664,-0.293994287511878,-0.293994287511878,-0.260575476520282,-0.260575476520282
"313","Item_31","~~","Item_34",12.6718516103348,0.130505756919107,0.130505756919107,0.245080125326791,0.245080125326791
"54","Cognitive","=~","Item_7",11.9426399560127,-2.69553079430323,-1.01610715555569,-1.01177833524393,-1.01177833524393
"95","Behavioral","=~","Item_19",11.9053424841485,2.12988692232519,1.00678654299897,0.836833217996963,0.836833217996963
