"","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"configural",528,13611.9385658338,14419.3466541299,1112.16046005603,NA,NA,NA
"weak",573,13580.0573026927,14228.1085314567,1170.27919691493,58.1187368588987,45,0.0907265556370377
"strong",618,14017.0419002376,14505.7362694694,1697.26379445981,526.984597544876,45,1.87490613839675e-83
"strict",672,14036.4727295126,14333.9388673059,1824.69462373482,127.430829275006,54,7.14408598802511e-08
