"","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"configural.s2",792,46573.8810767999,48215.5392401593,2105.70924803675,NA,NA,NA
"weak.s2",867,46623.1827898739,47904.8281981106,2305.01096111072,199.301713073972,75,3.22030896463602e-13
"strong.s2",942,46773.4942524536,47695.1269055677,2605.32242369046,300.311462579742,75,9.96685157025173e-29
"strict.s2",1032,46818.5077288008,47308.1250757676,2830.3359000376,225.013476347134,90,1.50581292092787e-13
