"","Df","AIC","BIC","Chisq","Chisq diff","Df diff","Pr(>Chisq)"
"configural.a",528,13645.9763876011,14453.3844758972,1117.58738763266,NA,NA,NA
"weak.a",573,13614.4517701994,14262.5029989634,1176.06277023096,58.4753825982996,45,0.0856641535335955
"strong.a",618,13569.481641309,14058.1760105408,1221.09264134055,45.0298711095927,45,0.47070787786315
"strict.a",672,13538.3517176353,13835.8178554286,1297.96271766689,76.8700763263325,54,0.0221208267613938
