"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.a",528,13645.9763876011,14453.3844758972,1117.58738763266,NA,NA,NA,NA
"weak.a",573,13614.4517702285,14262.5029989925,1176.06277026008,58.4753826274173,0.0685368596722977,45,0.085664153129906
"strong.a",618,13569.4816412714,14058.1760105033,1221.09264130304,45.0298710429613,0.0032268504761186,45,0.470707880652924
"strict.a",672,13538.3517175611,13835.8178553544,1297.96271759267,76.8700762896258,0.0815073610330889,54,0.0221208269089245
