"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.a2",792,46694.257552866,48335.9157162254,2226.08572410283,NA,NA,NA,NA
"weak.a2",867,46713.848035736,47995.4934439727,2395.6762069728,169.590482869973,0.0917974350146887,75,2.78251764399618e-09
"strong.a2",942,46905.2691225587,47826.9017756727,2737.09729379555,341.421086822751,0.154060436127369,75,1.22828011825772e-35
"strict.a2",1032,46946.3796834077,47435.9970303745,2958.20785464453,221.110560848976,0.09865862075018,90,4.961920235324e-13
