"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.s2",792,46573.8811018869,48215.5392652463,2105.70927312377,NA,NA,NA,NA
"weak.s2",867,46594.0828355913,47875.728243828,2275.91100682815,170.201733704373,0.0920935583664484,75,2.33150269244232e-09
"strong.s2",942,46740.6426848478,47662.2753379618,2572.47085608462,296.559849256469,0.140492246060944,75,4.12728727293921e-28
"strict.s2",1032,46788.6495116226,47278.2668585894,2800.47768285938,228.006826774767,0.101220035948492,90,5.98157218375659e-14
