"","Df","AIC","BIC","Chisq","Chisq diff","RMSEA","Df diff","Pr(>Chisq)"
"configural.s",528,13616.2855059422,14423.6935942383,1087.89650597375,NA,NA,NA,NA
"weak.s",573,13588.387311317,14236.438540081,1149.99831134865,62.1018053748926,0.0772101912852623,45,0.0461977227124792
"strong.s",618,13546.5079720281,14035.20234126,1198.11897205975,48.1206607111008,0.0329819952790024,45,0.347681753515309
"strict.s",672,13521.2763122307,13818.7424500241,1280.88731226235,82.7683402025973,0.0914156240808946,54,0.00712922495586102
